FIPS,State,County,UnemploymentRate,PreventableHospitalStays,UninsuredAdults,Year,AccessToCareIndex
1000,Alabama,,3.9335669106,5805.0,11.044782592,2020,8.8955217408
1001,Alabama,Autauga,3.6290788612,7108.0,8.7216859511,2020,9.12783140489
1003,Alabama,Baldwin,3.6153821564,4041.0,11.333404467,2020,8.8666595533
1005,Alabama,Barbour,5.1713842112,6209.0,12.242792457,2020,8.7757207543
1007,Alabama,Bibb,3.9718277335,5961.0,10.206252586,2020,8.979374741400001
1009,Alabama,Blount,3.5111573222,4060.0,13.360759494,2020,8.6639240506
1011,Alabama,Bullock,4.6901172529,6632.0,11.440376122,2020,8.8559623878
1013,Alabama,Butler,4.7902176352,9203.0,11.186009539,2020,8.8813990461
1015,Alabama,Calhoun,4.6528321587,6581.0,11.929167524,2020,8.807083247600001
1017,Alabama,Chambers,3.9080911233,5622.0,11.938076809,2020,8.8061923191
1019,Alabama,Cherokee,3.5708139735,5521.0,11.172649917,2020,8.8827350083
1021,Alabama,Chilton,3.6095707537,6148.0,13.759705874,2020,8.6240294126
1023,Alabama,Choctaw,5.5389859395,4968.0,11.342078708,2020,8.865792129199999
1025,Alabama,Clarke,7.473449587,6299.0,11.926366291,2020,8.8073633709
1027,Alabama,Clay,3.9074291464,5249.0,13.883338091,2020,8.6116661909
1029,Alabama,Cleburne,4.2486505311,6416.0,13.34452371,2020,8.665547629
1031,Alabama,Coffee,3.9486957775,4863.0,11.99236659,2020,8.800763341
1033,Alabama,Colbert,4.61776593,6414.0,9.683862525,2020,9.0316137475
1035,Alabama,Conecuh,5.2291944815,12070.0,12.033455306,2020,8.7966544694
1037,Alabama,Coosa,4.1819012797,4956.0,13.026201416,2020,8.697379858400001
1039,Alabama,Covington,4.5783441122,9181.0,12.103617686,2020,8.7896382314
1041,Alabama,Crenshaw,4.0806605272,7057.0,12.267525036,2020,8.7732474964
1043,Alabama,Cullman,3.2804652392,6442.0,12.658246768,2020,8.734175323199999
1045,Alabama,Dale,4.2047713718,5120.0,9.6988639182,2020,9.03011360818
